source_file,source_line,base_id,new_id
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,23,lli-bb-x-rule.1.01-x-rulex-maj_up,lli-bb-x-rule.1.01-x-rulex-maj_up
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,24,lli-bb-x-rule.1.01-x-rulex-min_down,lli-bb-x-rule.1.01-x-rulex-min_down
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,25,lli-bb-x-rule.1.01-x-note1-min_up,lli-bb-x-rule.1.01-x-note1-min_up
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,26,lli-bb-x-rule.1.01-x-llo1-min_up,lli-bb-x-rule.1.01-x-llo1-min_up
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,27,lli-bb-x-rule.1.02-x-rulex-all,lli-bb-x-rule.1.02-x-rulex-all
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,28,lli-bb-x-rule.1.02-x-exc1-tb,lli-bb-x-rule.1.02-x-exc1-tb
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,29,lli-bb-x-rule.1.03-x-rulex-all,lli-bb-x-rule.1.03-x-rulex-all
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,30,lli-bb-x-rule.1.03-x-llo1-all,lli-bb-x-rule.1.03-x-llo1-all
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,31,lli-bb-x-rule.1.04-x-rulex-all,lli-bb-x-rule.1.04-x-rulex-all
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,32,lli-bb-x-rule.1.04.p1-x-rulex-min_maj,lli-bb-x-rule.1.04.p1-x-rulex-min_maj
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,33,lli-bb-x-rule.1.04.p1-x-rulex-int_up,lli-bb-x-rule.1.04.p1-x-rulex-int_up
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,34,lli-bb-x-rule.1.04.p2-x-rule1-maj_down,lli-bb-x-rule.1.04.p2-x-rule1-maj_down
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,35,lli-bb-x-rule.1.04.p2-x-rule3-int,lli-bb-x-rule.1.04.p2-x-rule3-int
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,36,lli-bb-x-rule.1.04.p2-x-rule2-jr_sr,lli-bb-x-rule.1.04.p2-x-rule2-jr_sr
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,37,lli-bb-x-rule.1.04.p2-rule2-llo1-jr_sr,lli-bb-x-rule.1.04.p2-rule2-llo1-jr_sr
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,38,lli-bb-x-rule.1.04.p2-rule1-exc1-tb,lli-bb-x-rule.1.04.p2-rule1-exc1-tb
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,39,lli-bb-x-rule.1.04.p3-x-rulex-min_int,lli-bb-x-rule.1.04.p3-x-rulex-min_int
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,40,lli-bb-x-rule.1.04.p3-x-rulex-jr_sr,lli-bb-x-rule.1.04.p3-x-rulex-jr_sr
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,41,lli-bb-x-rule.1.04.p4-x-rulex-min_maj,lli-bb-x-rule.1.04.p4-x-rulex-min_maj
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,42,lli-bb-x-rule.1.04.p4-x-rulex-int_up,lli-bb-x-rule.1.04.p4-x-rulex-int_up
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,43,lli-bb-x-rule.1.04.p4-x-rulex-jr_sr,lli-bb-x-rule.1.04.p4-x-rulex-jr_sr
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,44,lli-bb-x-rule.1.04.p5-x-rulex-all,lli-bb-x-rule.1.04.p5-x-rulex-all
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,45,lli-bb-x-rule.1.04.p6-x-rulex-all,lli-bb-x-rule.1.04.p6-x-rulex-all
RULE_1_Objectives_of_the_Game.stable.20250928-2213.jsonl,46,lli-bb-x-rule.1.04.p7-x-rulex-min_maj,lli-bb-x-rule.1.04.p7-x-rulex-min_maj
